Identifier	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais
A_macrophytes_site_discharge_source		Discharge_source	Abfluss_konsolidiert_Quelle	Abfluss_konsolidiert_Quelle	Abfluss_konsolidiert_Quelle	Abfluss_konsolidiert_Quelle	Abfluss_konsolidiert_Quelle	Debit_consolide_Source
A_macrophytes_site_slope_percent		Slope	Gefaelle_konsolidiert	Gefaelle_konsolidiert	Gefaelle_konsolidiert	Gefaelle_konsolidiert	Gefaelle_konsolidiert	Pente_consolidee
A_macrophytes_site_slope_source		Slope_source	Gefaelle_konsolidiert_Quelle	Gefaelle_konsolidiert_Quelle	Gefaelle_konsolidiert_Quelle	Gefaelle_konsolidiert_Quelle	Gefaelle_konsolidiert_Quelle	Pente_consolidee_Source
A_macrophytes_site_waterdepth_m		Depth_MeanDischarge	Tiefe_MittWstand	Tiefe_MittWstand	Tiefe_MittWstand	Tiefe_MittWstand	Tiefe_MittWstand	Profondeur_NiveauMoyen
A_macrophytes_site_shading_percent		Shading	Beschattung	Beschattung	Beschattung	Beschattung	Beschattung	Ombrage
A_macrophytes_site_substratestability_class		StabilitySubstrate	Substratstabilitaet	Substratstabilitaet	Substratstabilitaet	Substratstabilitaet	Substratstabilitaet	StabiliteSubstrat
A_macrophytes_site_substrate_above40_percent		Substrate_Blocks_40	Substrat_Bloecke_40	Substrat_Bloecke_40	Substrat_Bloecke_40	Substrat_Bloecke_40	Substrat_Bloecke_40	Substrat_BlocsRochers_40
A_macrophytes_site_substrate_20to40_percent		Substrate_LargeStones_20_40	Substrat_GrSteine_20_40	Substrat_GrSteine_20_40	Substrat_GrSteine_20_40	Substrat_GrSteine_20_40	Substrat_GrSteine_20_40	Substrat_GrossesPierres_20_40
A_macrophytes_site_substrate_6to20_percent		Substrate_SmallStones_6_20	Substrat_KlSteine_6_20	Substrat_KlSteine_6_20	Substrat_KlSteine_6_20	Substrat_KlSteine_6_20	Substrat_KlSteine_6_20	Substrat_Galets_6_20
A_macrophytes_site_substrate_2to6_percent		Substrate_LargeGravel_2_6	Substrat_Grobkies_2_6	Substrat_Grobkies_2_6	Substrat_Grobkies_2_6	Substrat_Grobkies_2_6	Substrat_Grobkies_2_6	Substrat_GravierGrossier_2_6
A_macrophytes_site_substrate_0to2_percent		Substrate_SmallMediumGravel_0_2	Substrat_FeinMittelkies_0_2	Substrat_FeinMittelkies_0_2	Substrat_FeinMittelkies_0_3	Substrat_FeinMittelkies_0_4	Substrat_FeinMittelkies_0_5	Substrat_FinMoyen_0_2
A_macrophytes_site_substrate_sand_percent		Substrate_Sand	Substrat_Sand	Substrat_Sand	Substrat_Sand	Substrat_Sand	Substrat_Sand	Substrat_Sable
A_macrophytes_site_substrate_siltclay_percent		Substrate_Clay	Substrat_SchluffTon	Substrat_SchluffTon	Substrat_SchluffTon	Substrat_SchluffTon	Substrat_SchluffTon	Substrat_LimonArgile
A_macrophytes_site_substrate_mud_percent		Substrate_Mud	Substrat_Schlamm	Substrat_Schlamm	Substrat_Schlamm	Substrat_Schlamm	Substrat_Schlamm	Substrat_Vase
A_macrophytes_site_substrate_humuspeat_percent		Substrate_HumusPeat	Substrat_HumusTorf	Substrat_HumusTorf	Substrat_HumusTorf	Substrat_HumusTorf	Substrat_HumusTorf	Substrat_HumusTourbe
A_macrophytes_site_substrate_artificial_percent		Substrate_Artificial	Substrat_Kuenstlich	Substrat_Kuenstlich	Substrat_Kuenstlich	Substrat_Kuenstlich	Substrat_Kuenstlich	Substrat_Artificiel
A_macrophytes_site_coarsegravel_percent		Stones	Steine	Steine	Steine	Steine	Steine	Pierres
A_macrophytes_site_finesubstrate_percent		Fine	Fein	Fein	Fein	Fein	Fein	Fin
A_macrophytes_site_sumsubstrate_comment		Comment_SumSubstrates	Bemerkung_Substratsumme	Bemerkung_Substratsumme	Bemerkung_Substratsumme	Bemerkung_Substratsumme	Bemerkung_Substratsumme	Remarque_AdditionSubstrat
A_macrophytes_site_vegetationcover_percent		CoverageMacrophytes_Percent	GesamtdeckungMakrophyten_Prozent	GesamtdeckungMakrophyten_Prozent	GesamtdeckungMakrophyten_Prozent	GesamtdeckungMakrophyten_Prozent	GesamtdeckungMakrophyten_Prozent	RecouvrTotalMacrophytes_Pourcent
A_macrophytes_site_baresubstrate_percent		SubstrateUncovered_Percent	SubstratUnbedeckt_Prozent	SubstratUnbedeckt_Prozent	SubstratUnbedeckt_Prozent	SubstratUnbedeckt_Prozent	SubstratUnbedeckt_Prozent	SubstratDecouvert_Pourcent
								
A_macrophytes_site_discharge_hydrometricavg_lpers		Discharge_hydrometric_mean	Abfluss_Hydrom_Mittel	Abfluss_Hydrom_Mittel	Abfluss_Hydrom_Mittel	Abfluss_Hydrom_Mittel	Abfluss_Hydrom_Mittel	Debit_hydrom_Moyenne
A_macrophytes_site_discharge_hydrometricday_lpers		Discharge_hydrometric_day	Abfluss_Hydrom_Tag	Abfluss_Hydrom_Tag	Abfluss_Hydrom_Tag	Abfluss_Hydrom_Tag	Abfluss_Hydrom_Tag	Debit_hydrom_Jour
A_macrophytes_site_waterdepth_dayavg_m		Depth_obs_mean	Tagestiefe_Mittlere	Tagestiefe_Mittlere	Tagestiefe_Mittlere	Tagestiefe_Mittlere	Tagestiefe_Mittlere	Profondeur_moyenne_Jour
A_macrophytes_site_waterdepth_daymax_m		Depth_obs_max	Tagestiefe_Maximal	Tagestiefe_Maximal	Tagestiefe_Maximal	Tagestiefe_Maximal	Tagestiefe_Maximal	Profondeur_maximale_Jour
A_macrophytes_site_elevation_m_asl		Elevation_AMSL	Hoehe_ueber_Meer	Hoehe_ueber_Meer	Hoehe_ueber_Meer	Hoehe_ueber_Meer	Hoehe_ueber_Meer	Altitude_msm
A_macrophytes_site_riverorder		Streamorder	Flussordnungszahl	Flussordnungszahl	Flussordnungszahl	Flussordnungszahl	Flussordnungszahl	NumeroOrdre
A_macrophytes_site_regimetype		Flowregimetype	Regimetyp	Regimetyp	Regimetyp	Regimetyp	Regimetyp	TypeRegime
A_macrophytes_site_biogeographicregion		Biogeographic_Region	Biogeo_FGT	Biogeo_FGT	Biogeo_FGT	Biogeo_FGT	Biogeo_FGT	Biogeo_TCE
A_macrophytes_site_geology		Geology_Region	Geologie_FGT	Geologie_FGT	Geologie_FGT	Geologie_FGT	Geologie_FGT	Geologie_TCE
A_macrophytes_site_catchment_forest_percent		Forest	Forest	Forest	Forest	Forest	Forest	Foret
A_macrophytes_site_catchment_urban_percent		Urban	Urban	Urban	Urban	Urban	Urban	Urbanise
A_macrophytes_site_catchment_agricultureall_percent		Agri_All	Agri_All	Agri_All	Agri_All	Agri_All	Agri_All	Agri_All
A_macrophytes_site_clogging_class		Clogging	Kolmation	Kolmation	Kolmation	Kolmation	Kolmation	Colmatage
A_macrophytes_site_turbidity_class		Turbidity	Truebung	Truebung	Truebung	Truebung	Truebung	Turbidite
A_macrophytes_site_flowvelocity_mpers		Flowvelocity_mean_estimate	Stroemung_Mittlere_SchaetzFeld	Stroemung_Mittlere_SchaetzFeld	Stroemung_Mittlere_SchaetzFeld	Stroemung_Mittlere_SchaetzFeld	Stroemung_Mittlere_SchaetzFeld	Courant_moyen_EstimTerrain
A_macrophytes_site_bedwidth_m		Bedwidth	Sohlenbreite	Sohlenbreite	Sohlenbreite	Sohlenbreite	Sohlenbreite	LargeurLit
A_macrophytes_site_wettedwidth_m		Wetted_width	BenetzteBreite	BenetzteBreite	BenetzteBreite	BenetzteBreite	BenetzteBreite	LargeurLitMouille
A_macrophytes_site_coordinatex_swissgrid		CoordinateX	KoordinateX	KoordinateX	KoordinateX	KoordinateX	KoordinateX	CoordonneeX
A_macrophytes_site_coordinatey_swissgrid		CoordinateY	KoordinateY	KoordinateY	KoordinateY	KoordinateY	KoordinateY	CoordonneeY
A_macrophytes_site_lengthsection_m		Length_Reach	Abschnittlaenge	Abschnittlaenge	Abschnittlaenge	Abschnittlaenge	Abschnittlaenge	LongueurTroncon
A_macrophytes_site_pictures		Pictures	Fotos	Fotos	Fotos	Fotos	Fotos	Photos
A_macrophytes_site_picture1		Pictures1	Fotos1	Fotos1	Fotos1	Fotos1	Fotos1	Photo1
A_macrophytes_site_waterbody		River	Gewaesser	Gewaesser	Gewaesser	Gewaesser	Gewaesser	Cours_dEau
A_macrophytes_site_location		Site	Stelle	Stelle	Stelle	Stelle	Stelle	Site
A_macrophytes_site_operator		Observer	Bearbeiterin	Bearbeiterin	Bearbeiterin	Bearbeiterin	Bearbeiterin	OperateurTrice
								
A_macrophytes_species_number_msk		SpeciesNumber_Assessment	ArtNr_MSK_WF	ArtNr_MSK_WF	ArtNr_MSK_WF	ArtNr_MSK_WF	ArtNr_MSK_WF	NoEspece_SMG_FC
A_macrophytes_species_name_latin		SpeciesName_Latin	Artname_Lateinisch	Artname_Lateinisch	Artname_Lateinisch	Artname_Lateinisch	Artname_Lateinisch	NomEspece_Latin
A_macrophytes_species_name_taxalistch		SpeciesName_Taxalist_CH	Artbezeichnung_Taxaliste_CH	Artbezeichnung_Taxaliste_CH	Artbezeichnung_Taxaliste_CH	Artbezeichnung_Taxaliste_CH	Artbezeichnung_Taxaliste_CH	DenominationEspeceListeTaxonsCH
A_macrophytes_species_absolutecover_percent		Cover_abs	Abs_Deckung	Abs_Deckung	Abs_Deckung	Abs_Deckung	Abs_Deckung	Recouvrement_abs
A_macrophytes_species_artificialsubstrate_relcover_percent		AbundanceArtificial_rel	Rel_Haeufigkeit_Kuenstlich	Rel_Haeufigkeit_Kuenstlich	Rel_Haeufigkeit_Kuenstlich	Rel_Haeufigkeit_Kuenstlich	Rel_Haeufigkeit_Kuenstlich	Frequence_rel_artificiel
A_macrophytes_species_determinationuncertainty		Uncertainty_Determination	Unsicherheit_Bestimmung	Unsicherheit_Bestimmung	Unsicherheit_Bestimmung	Unsicherheit_Bestimmung	Unsicherheit_Bestimmung	Fiabilite_Determination
A_macrophytes_species_phenology_blossom		Phenology_Flower	PhaenZustand_Bluete	PhaenZustand_Bluete	PhaenZustand_Bluete	PhaenZustand_Bluete	PhaenZustand_Bluete	EtatPheno_Fleurs
A_macrophytes_species_phenology_fruits		Phenology_Fruits	PhaenZustand_Fruechte	PhaenZustand_Fruechte	PhaenZustand_Fruechte	PhaenZustand_Fruechte	PhaenZustand_Fruechte	EtatPheno_Fruits
A_macrophytes_species_commentvalidation_taxa		Comment_Species	Bereinigung_Arten	Bereinigung_Arten	Bereinigung_Arten	Bereinigung_Arten	Bereinigung_Arten	Remarques_Especes
A_macrophytes_species_reason_elimination		Reason_Elimination	Grund_Bereinigung	Grund_Bereinigung	Grund_Bereinigung	Grund_Bereinigung	Grund_Bereinigung	Raison_suppression
A_macrophytes_species_reason_insufficientquality		insufficient quality of determination	Qualitaet Bestimmung unzureichend	Qualitaet Bestimmung unzureichend	Qualitaet Bestimmung unzureichend	Qualitaet Bestimmung unzureichend	Qualitaet Bestimmung unzureichend	Qualite de determination insuffisante
A_macrophytes_species_reason_notontaxalist		not on taxa list	Nicht auf Taxaliste	Nicht auf Taxaliste	Nicht auf Taxaliste	Nicht auf Taxaliste	Nicht auf Taxaliste	Pas sur la liste des taxa
								
A_macrophytes_taxalist_taxagroups		TaxaGroup	Sammeltaxa	Sammeltaxa	Sammeltaxa	Sammeltaxa	Sammeltaxa	Agregat
A_macrophytes_taxalist_taxagroups_assign		TaxaGroup_Assignment	Sammeltaxa_Zuweisung	Sammeltaxa_Zuweisung	Sammeltaxa_Zuweisung	Sammeltaxa_Zuweisung	Sammeltaxa_Zuweisung	Agregat_Attribution
A_macrophytes_taxalist_growthform		GrowthForm_CH	Wuchsform_CH	Wuchsform_CH	Wuchsform_CH	Wuchsform_CH	Wuchsform_CH	FormeCroissance_CH
A_macrophytes_taxalist_growthform_abbrev		GrowthForm_CH_abbrev	Wuchsform_CH_Kurz	Wuchsform_CH_Kurz	Wuchsform_CH_Kurz	Wuchsform_CH_Kurz	Wuchsform_CH_Kurz	FormeCroissance_CH_abrev
A_macrophytes_taxalist_growthform_assess		GrowthForm_Valuation	Wuchsform_Bewertung	Wuchsform_Bewertung	Wuchsform_Bewertung	Wuchsform_Bewertung	Wuchsform_Bewertung	FormeCroissance_Evaluation
L_macrophytes_taxalist_growthform_assess_aquatic		Aquatic	Aquatische	Aquatische	Aquatische	Aquatische	Aquatische	Hydrophyte
L_macrophytes_taxalist_growthform_assess_helophyte		Helophyte	Helophyten	Helophyten	Helophyten	Helophyten	Helophyten	Helophyte
L_macrophytes_taxalist_growthform_assess_bryophyte		Bryophyte	Moose	Moose	Moose	Moose	Moose	Bryophyte
L_macrophytes_taxalist_growthform_assess_algae		Algae	Algen	Algen	Algen	Algen	Algen	Algue
A_macrophytes_taxalist_determination		Determination_Degree	Bestimmbarkeit	Bestimmbarkeit	Bestimmbarkeit	Bestimmbarkeit	Bestimmbarkeit	Determination_Degre
A_macrophytes_taxalist_determination_trait		Phenology_Trait	PhaenZustand_Merkmal	PhaenZustand_Merkmal	PhaenZustand_Merkmal	PhaenZustand_Merkmal	PhaenZustand_Merkmal	CharacteresPhenologiques
L_macrophytes_taxalist_determination_trait_flowers		flowers	Blueten	Blueten	Blueten	Blueten	Blueten	fleurs
L_macrophytes_taxalist_determination_trait_fruits		fruits	Fruechte	Fruechte	Fruechte	Fruechte	Fruechte	fruits
L_macrophytes_taxalist_determination_trait_flowersandfruits		flowers and fruits	Blueten und Fruechte	Blueten und Fruechte	Blueten und Fruechte	Blueten und Fruechte	Blueten und Fruechte	fleurs et fruits
L_macrophytes_taxalist_determination_trait_flowersorfruits		flowers or fruits	Blueten oder Fruechte	Blueten oder Fruechte	Blueten oder Fruechte	Blueten oder Fruechte	Blueten oder Fruechte	fleurs ou fruits
A_macrophytes_taxalist_conservationinfo		InfoSpecies_Conservation	Artinfo_Naturschutz	Artinfo_Naturschutz	Artinfo_Naturschutz	Artinfo_Naturschutz	Artinfo_Naturschutz	InfoEspece_Conservation
L_macrophytes_taxalist_conservationinfo_neophyte		neo	N	N	N	N	N	N
L_macrophytes_taxalist_conservationinfo_index		ind	LA	LA	LA	LA	LA	Ca
L_macrophytes_taxalist_conservationinfo_priority		prio	ZA	ZA	ZA	ZA	ZA	Ci
L_macrophytes_taxalist_conservationinfo_hybrid		hybr	H	H	H	H	H	H
A_macrophytes_taxalist_indexspecies		Species_Index	Leitwert_MSK	Leitwert_MSK	Leitwert_MSK	Leitwert_MSK	Leitwert_MSK	ValeurGuide_SMG
A_macrophytes_taxalist_priorityspecies		Species_Priority	Zielwert_Prioritaet_MSK	Zielwert_Prioritaet_MSK	Zielwert_Prioritaet_MSK	Zielwert_Prioritaet_MSK	Zielwert_Prioritaet_MSK	ValeurCible_SMG
A_macrophytes_taxalist_phenology_trait		Phenology_Trait_Code	PhaenZust_Merkmal_Code	PhaenZust_Merkmal_Code	PhaenZust_Merkmal_Code	PhaenZust_Merkmal_Code	PhaenZust_Merkmal_Code	CaracteresPhenologiques_Code
A_macrophytes_taxalist_redliststatuts		Red_List_CH	Rote_Liste_CH	Rote_Liste_CH	Rote_Liste_CH	Rote_Liste_CH	Rote_Liste_CH	Liste_Rouge_CH
A_macrophytes_taxalist_growthform_assess_twoforms_grfo		emergent_submerged	emers_submers	emers_submers	emers_submers	emers_submers	emers_submers	emergee_submergee
L_macrophytes_taxalist_growthform_assess_twoforms_grfo_em		emergent	emers	emers	emers	emers	emers	emergee
L_macrophytes_taxalist_growthform_assess_twoforms_grfo_sub		submerged	submers	submers	submers	submers	submers	submergee
A_macrophytes_taxalist_growthform_assess_twoforms_grfoval		emergent_submerged_valuation	emers_submers_bewertung	emers_submers_bewertung	emers_submers_bewertung	emers_submers_bewertung	emers_submers_bewertung	emergee_submergee_evaluation
								
R_macrophytes_probability		P	W	W	W	W	W	P
R_macrophytes_maxprobability		MaxP	MaxW	MaxW	MaxW	MaxW	MaxW	MaxP
R_macrophytes_comment		Comment	Bemerkung	Bemerkung	Bemerkung	Bemerkung	Bemerkung	Remarque
								
R_macrophytes_rivertype_scheme		T1	T1	T1	T1	T1	T1	T1
R_macrophytes_rivertype_schememaxprob		T2	T2	T2	T2	T2	T2	T2
R_macrophytes_rivertype_val		T3	T3	T3	T3	T3	T3	T3
R_macrophytes_rivertype_valmaxprob		T4	T4	T4	T4	T4	T4	T4
R_macrophytes_rivertype_probgrfo		T5	T5	T5	T5	T5	T5	T5
R_macrophytes_rivertype_probval		T6	T6	T6	T6	T6	T6	T6
R_macrophytes_rivertype_probscheme		T7	T7	T7	T7	T7	T7	T7
								
R_macrophytes_attrib_calc		A1	A1	A1	A1	A1	A1	A1
R_macrophytes_value_obs		B1	B1	B1	B1	B1	B1	B1
R_macrophytes_value_decreasingprob		B2_T_C_P_decP	B2_T_B_W_abnW	B2_T_B_W_abnW	B2_T_B_W_abnW	B2_T_B_W_abnW	B2_T_B_W_abnW	B2_T_E_P_decP
R_macrophytes_value_decreasingval		B3_T_V_P_decV	B3_T_B_W_abnB	B3_T_B_W_abnB	B3_T_B_W_abnB	B3_T_B_W_abnB	B3_T_B_W_abnB	B3_T_E_P_decE
R_macrophytes_value_types		B4	B4	B4	B4	B4	B4	B4
R_macrophytes_value_final		B5	B5	B5	B5	B5	B5	B5
								
R_macrophytes_plaus_warning_chargrfomissing		R1_CharGrowthFormMissing	R1_CharWuchsformFehlt	R1_CharWuchsformFehlt	R1_CharWuchsformFehlt	R1_CharWuchsformFehlt	R1_CharWuchsformFehlt	R1_FormeCroissCarAbsente
R_macrophytes_plaus_warning_typevalnotmaxprob		R2_TypeValuationNotMaxP	R2_TypBewertungNichtMaxW	R2_TypBewertungNichtMaxW	R2_TypBewertungNichtMaxW	R2_TypBewertungNichtMaxW	R2_TypBewertungNichtMaxW	R2_TypeCoursDeauPasProbMax
R_macrophytes_plaus_warning_typemaxprobnotbest		R3_TypeMaxPNotMaxV	R3_TypMaxWNichtMaxB	R3_TypMaxWNichtMaxB	R3_TypMaxWNichtMaxB	R3_TypMaxWNichtMaxB	R3_TypMaxWNichtMaxB	R3_TypeProbMaxPasMaxEval
R_macrophytes_plaus_warning_abscoverlow		R4_AbsoluteCoverageLow	R4_AbsDeckungTief	R4_AbsDeckungTief	R4_AbsDeckungTief	R4_AbsDeckungTief	R4_AbsDeckungTief	R4_RecouvrementAbsFaible
R_macrophytes_plaus_warning_probpoorveghigh		R5_PLowVegHigh	R5_WVegArmHoch	R5_WVegArmHoch	R5_WVegArmHoch	R5_WVegArmHoch	R5_WVegArmHoch	R5_ProbTypePauvreVegElevee
R_macrophytes_plaus_warning_abscoverlowandprobpoorveghigh		R6_PLowVEgHighAndCoverageLow	R6_WVegArmHochUndDeckungTief	R6_WVegArmHochUndDeckungTief	R6_WVegArmHochUndDeckungTief	R6_WVegArmHochUndDeckungTief	R6_WVegArmHochUndDeckungTief	R6_ProbPauvreVegEleveeEtRecouvrementAbsFaible
R_macrophytes_plaus_warning_highheloaquatmossriver		R7_AbsCoverageHeloAquatHighBryoRiver	R7_AbsDeckungHeloAquatHochMoosbach	R7_AbsDeckungHeloAquatHochMoosbach	R7_AbsDeckungHeloAquatHochMoosbach	R7_AbsDeckungHeloAquatHochMoosbach	R7_AbsDeckungHeloAquatHochMoosbach	R7_RecouvrementAbsHeloHydroEleveBryo
R_macrophytes_plaus_warning_mossmainlyonartsubst		R8_MossArtificialSubstrate	R8_MoosAufKuenstSubst	R8_MoosAufKuenstSubst	R8_MoosAufKuenstSubst	R8_MoosAufKuenstSubst	R8_MoosAufKuenstSubst	R8_BryoSurSubstArtificiel
R_macrophytes_plaus_warning_subspoorformoss		R9_SubstrateBadForModd	R9_SubstSchlechtfuerMoos	R9_SubstSchlechtfuerMoos	R9_SubstSchlechtfuerMoos	R9_SubstSchlechtfuerMoos	R9_SubstSchlechtfuerMoos	R9_SubstratMauvaisPourBryo
R_macrophytes_plaus_warning_highcovermosspoorveg		R10_AbsCoveragModdHighLowVeg	R10_AbsDeckungMoosHochVegarm	R10_AbsDeckungMoosHochVegarm	R10_AbsDeckungMoosHochVegarm	R10_AbsDeckungMoosHochVegarm	R10_AbsDeckungMoosHochVegarm	R10_RecouvrementAbsBryoElevePauvreVeg
R_macrophytes_plaus_warning_bettervaltypesamedischarge		R11_BetterVOtherType	R11_BessereBandererTyp	R11_BessereBandererTyp	R11_BessereBandererTyp	R11_BessereBandererTyp	R11_BessereBandererTyp	R11_MeilleureEvalautreType
R_macrophytes_plaus_warning_sum		R_SumViolationsRules	R_SummeRegelverletzungen	R_SummeRegelverletzungen	R_SummeRegelverletzungen	R_SummeRegelverletzungen	R_SummeRegelverletzungen	R_TotalViolationsRegles
R_macrophytes_plaus_suggesttype_smallsubmwithoutaquaticgrfo		C1_SubmRiverWithoutAquaticGrowthForms	U1_SubBachOhneAquatWform	U1_SubBachOhneAquatWform	U1_SubBachOhneAquatWform	U1_SubBachOhneAquatWform	U1_SubBachOhneAquatWform	M1_TypeSubSansFormeCroissHydro
R_macrophytes_plaus_suggesttype_macrophyteriverduetohighcoverage		C2_LowVegHighMacroCoverage	U2_VegarmMitVielMakroDeckung	U2_VegarmMitVielMakroDeckung	U2_VegarmMitVielMakroDeckung	U2_VegarmMitVielMakroDeckung	U2_VegarmMitVielMakroDeckung	M2_TypePauvreVegRecouvrementAbsEleve
R_macrophytes_plaus_suggesttype_macrophyteriverduetomediumcoverage		C3_LowVegModerateMacroCoverage	U3_VegarmMitModeraterMakroDeckung	U3_VegarmMitModeraterMakroDeckung	U3_VegarmMitModeraterMakroDeckung	U3_VegarmMitModeraterMakroDeckung	U3_VegarmMitModeraterMakroDeckung	M3_TypePauvreVegRecouvrementAbsMod
R_macrophytes_plaus_suggesttype_mossriverduetohighcoverage		C4_LowVegHighMossCoverage	U4_VegarmMitVielMoosDeckung	U4_VegarmMitVielMoosDeckung	U4_VegarmMitVielMoosDeckung	U4_VegarmMitVielMoosDeckung	U4_VegarmMitVielMoosDeckung	M4_TypePauvreVegRecouvrementBryoEleve
R_macrophytes_plaus_suggesttype_otherbasetypefortransitiontype		S1_OtherBaseTypeTransitionType	V1_AndererBasistypFuerUebergangstyp	V1_AndererBasistypFuerUebergangstyp	V1_AndererBasistypFuerUebergangstyp	V1_AndererBasistypFuerUebergangstyp	V1_AndererBasistypFuerUebergangstyp	P1_DifferentTypeBasePourTypeTransition
R_macrophytes_plaus_suggesttype_otherdischargeclassbettervalue		S2_OtherDischargeClassBetter	V2_AndereAbflussklasseBesser	V2_AndereAbflussklasseBesser	V2_AndereAbflussklasseBesser	V2_AndereAbflussklasseBesser	V2_AndereAbflussklasseBesser	P2_DifferenteClasseGrandeurMeilleure
R_macrophytes_plaus_suggesttype_poorvegduetocoverage		S3_MacrophyteRiverWithLowCoverage	V3_VegBachMitWenigDeckung	V3_VegBachMitWenigDeckung	V3_VegBachMitWenigDeckung	V3_VegBachMitWenigDeckung	V3_VegBachMitWenigDeckung	P3_TypeVegetationRecouvrementFaible
R_macrophytes_plaus_suggesttype_bettervaltypesamedischarge		S4_BetterEvaluationSameDischargeClass	V4_BessereBewertungGleicheAbflussklasse	V4_BessereBewertungGleicheAbflussklasse	V4_BessereBewertungGleicheAbflussklasse	V4_BessereBewertungGleicheAbflussklasse	V4_BessereBewertungGleicheAbflussklasse	P4_EvaluationMeilleureMemeGrandeur
R_macrophytes_plaus_changetype_suggestions		D1_ChangeTypeSuggestion	D1_TypBewertungsWechselVorschlagTool	D1_TypBewertungsWechselVorschlagTool	D1_TypBewertungsWechselVorschlagTool	D1_TypBewertungsWechselVorschlagTool	D1_TypBewertungsWechselVorschlagTool	D1_ChangementTypeProposition
R_macrophytes_plaus_changetype_highprob		D2_TypeChangeHighProb	D2_TypWechselHoheWahrsch	D2_TypWechselHoheWahrsch	D2_TypWechselHoheWahrsch	D2_TypWechselHoheWahrsch	D2_TypWechselHoheWahrsch	D2_ChangementTypeProbabiliteElevee
R_macrophytes_plaus_changetype_poorvegsubstrate		D3_TypeChangeLowVegSubstrate	D3_TypWechselVASubstrat	D3_TypWechselVASubstrat	D3_TypWechselVASubstrat	D3_TypWechselVASubstrat	D3_TypWechselVASubstrat	D3_ChangementTypePauvreVegSubstrat
R_macrophytes_plaus_changetype_mossartsubst		D4_TypeChangeMossArtificial	D4_TypWechselMoosKuenstlich	D4_TypWechselMoosKuenstlich	D4_TypWechselMoosKuenstlich	D4_TypWechselMoosKuenstlich	D4_TypWechselMoosKuenstlich	D4_ChangementTypeBryoSubstatArtificiel
R_macrophytes_plaus_changetype_wrongsitedata		D5_TypeChangeWrongSiteData	D5_TypWechselFalscheStandortdaten	D5_TypWechselFalscheStandortdaten	D5_TypWechselFalscheStandortdaten	D5_TypWechselFalscheStandortdaten	D5_TypWechselFalscheStandortdaten	D5_ChangementTypeDonneesIncorrectes
R_macrophytes_plaus_changetype_upstreaminfluence		D6_TypeChangeInfluenceUpstream	D6_TypWechselEinflussOberlauf	D6_TypWechselEinflussOberlauf	D6_TypWechselEinflussOberlauf	D6_TypWechselEinflussOberlauf	D6_TypWechselEinflussOberlauf	D6_ChangementTypeInfluenceCoursSuperieur
R_macrophytes_plaus_changetype_intermittentriver		D7_TypeChangeIntermittentRiver	D7_TypWechselPeriodischeAustrocknung	D7_TypWechselPeriodischeAustrocknung	D7_TypWechselPeriodischeAustrocknung	D7_TypWechselPeriodischeAustrocknung	D7_TypWechselPeriodischeAustrocknung	D7_ChangementTypeAssechementPeriodique
R_macrophytes_plaus_changetype_highdischargevariability		D8_TypeChangeHighDischargeVariability	D8_TypWechselHoheAbflussschwankungen	D8_TypWechselHoheAbflussschwankungen	D8_TypWechselHoheAbflussschwankungen	D8_TypWechselHoheAbflussschwankungen	D8_TypWechselHoheAbflussschwankungen	D8_ChangementTypeVariationDebits
R_macrophytes_plaus_changetype_limitstypescheme		D9_TypeChangeLimitsTyping	D9_TypWechselGenzenTypisierung	D9_TypWechselGenzenTypisierung	D9_TypWechselGenzenTypisierung	D9_TypWechselGenzenTypisierung	D9_TypWechselGenzenTypisierung	D9_ChangementTypeLimitesTypification
R_macrophytes_plaus_changetype_multiplesampling		D10_TypeChangeMultipleSampling	D10_TypWechselMehrfacherhebung	D10_TypWechselMehrfacherhebung	D10_TypWechselMehrfacherhebung	D10_TypWechselMehrfacherhebung	D10_TypWechselMehrfacherhebung	D10_ChangementTypeMultiplesDonnees
R_macrophytes_plaus_changetype_justification		D11_TypeChangeReasons	D11_TypWechselBegruendung	D11_TypWechselBegruendung	D11_TypWechselBegruendung	D11_TypWechselBegruendung	D11_TypWechselBegruendung	D11_ChangementTypeRaisons
R_macrophytes_plaus_keeptype_mostplausible		D12_KeepTypePlaus	D12_TypBeibehaltenPlausibel	D12_TypBeibehaltenPlausibel	D12_TypBeibehaltenPlausibel	D12_TypBeibehaltenPlausibel	D12_TypBeibehaltenPlausibel	D12_MaintenirTypeVraisemblable
R_macrophytes_plaus_keeptype_bettervalhumanimpact		D13_KeepTypeAnthropogenicInfluence	D13_TypBeibehaltenAnthropogenerEinfluss	D13_TypBeibehaltenAnthropogenerEinfluss	D13_TypBeibehaltenAnthropogenerEinfluss	D13_TypBeibehaltenAnthropogenerEinfluss	D13_TypBeibehaltenAnthropogenerEinfluss	D13_MaintenirTypeFacteursAnthropiques
R_macrophytes_plaus_keeptype_substrateuncertain		D14_KeepTypeSubstrate	D14_TypBeibehaltenSubstratUnsicher	D14_TypBeibehaltenSubstratUnsicher	D14_TypBeibehaltenSubstratUnsicher	D14_TypBeibehaltenSubstratUnsicher	D14_TypBeibehaltenSubstratUnsicher	D14_MaintenirTypeSustrat
								
R_macrophytes_error_error		Error	Fehler	Fehler	Fehler	Fehler	Fehler	Erreur
R_macrophytes_error_warning		Warning	Warnung	Warnung	Warnung	Warnung	Warnung	Alerte
